CAMIS,DBA,BORO,CUISINECODE,SCORE,CURRENTGRADE
41507388,KENNEDY CHICKEN & BISCUIT,2,18,4,A
41522848,MANNA'S RESTAURANT,1,73,10,A
41523156,MONACO'S,3,08,7,A
41497301,CAFE GLECHIK OF SHEEPSHEAD BAY,3,67,7,A
41497403,BASICS CAFETERIA,2,03,7,A
41497405,COTTA BENE,3,48,12,A
41570383,KUNG FU TEA,4,14,11,A
41525501,LA TRATTORIA,3,48,31,C
41525509,YUM YUM QUEENS,4,82,12,A
41525640,THE SWALLOW CAFE & ESPRESSO BAR,3,14,12,A
41526041,EAST STAR RESTAURANT,4,20,6,A
41526348,SUBWAY,3,70,7,A
41520281,ARIA KABAB,4,54,6,A
41523199,SUBWAY,2,03,7,A
41523554,CROWN FRIED CHICKEN,4,18,7,A
41567826,TURQUOISE KOSHER FISH RESTAURANT,4,50,12,A
41567865,EMPELLON,1,55,10,A
41567919,GOLDEN KRUST CARRIBEAN BAKERY & GRILL,3,17,12,A
41507850,BROOKLYN SOUTHERN,3,03,7,A
41526575,CHINA NEW STAR,5,20,28,C
41526728,KIN SHOP,1,82,10,A
41497696,STRONG PLACE,3,03,13,A
41570428,KOKO,1,05,13,A
41570575,CAFE 37,1,03,9,A
41527529,THE SHANTI SHACK,3,51,13,A
41527538,AREPAS PUES MIXTAS,4,77,11,A
41508160,DUNKIN DONUTS,1,29,13,A
41508164,DUNKIN DONUTS,1,29,13,A
41521683,ELEMENT NEW YORK,1,03,7,A
41521751,WILD GINGER,3,20,9,A
41497741,GOLOSI,1,48,10,A
41498159,HAND PULL NOODLE & DUMPLING HOUSE,3,20,10,A
41523665,PARSON'S DINER,4,03,16,Z
41570817,PATZERIA FAMILY & FRIENDS,1,48,14,B
41571021,OM,1,44,7,A
41528043,TOP 1 SUSHI WANG,3,05,11,A
41528104,PALERMO PASTRY SHOP,3,08,12,A
41528352,MR. ZENG KITCHEN,4,20,11,A
41521817,VIVE LA CREPE!,1,35,11,A
41508916,HAAB,3,55,13,A
41498400,THE BEDFORD,3,03,2,A
41498627,RED C  RESTAURANT,5,54,6,A
41498667,BEDOUIN TENT,3,56,5,A
41524204,BAD BURGER,3,03,19,B
41571230,JAMAICAN FLAVORS,4,17,9,A
41522762,LUEN HOP,3,20,8,A
41523265,BUCA,1,63,7,A
41523349,STEVEN RESTAURANT,2,53,11,A
41528467,MILAN CAFFE,1,14,8,A
41528823,BAYRIDGE SUSHI,3,49,12,A
41528836,NAM NAM,3,28,8,A
41528838,GOOD BEER,1,12,13,A
41569094,TRATTORIA CERBONE,4,48,10,A
41509061,THE JUNCTION,1,03,9,A
41509130,3 SHEETS SALOON,1,12,9,A
41523649,OUR PLACE CUISINES OF CHINA,1,20,9,A
41498672,LEE CHUNG CAFE,1,20,21,B
41524599,OFICINA LATINA,1,53,20,B
41528976,FAMILY KITCHEN,3,20,7,A
41529002,BELL BOOK & CANDLE,1,03,17,B
41529148,THE ORIGINAL VINCENT'S ESTABLISH 1904,1,48,7,A
41571302,GOLDEN WOK,3,20,3,A
41571341,STIX RESTAURANT,4,50,7,A
41509575,SUGAR BEETS,3,82,12,A
41509586,BONGO,1,03,9,A
41499185,BURGER & BARREL,1,03,10,A
41499490,BERGEN PIZZA,3,62,12,A
41529221,GUGONGTAN,4,52,23,B
41529297,JOSEPHINE,1,35,28,C
41529617,SHOBU SUSHI & GRILL,3,49,7,A
41529624,MAY FLOWER NO.1 CHINESE RESTAURANT,5,20,11,A
41524890,LITTLE CUPCAKE BAKE SHOP,1,08,21,Z
41571795,KUM FUNG KITCHEN,5,20,12,A
41524218,OZEN ASIAN FUSION,1,05,18,B
41509686,EL TEQUILERO II BAR,3,55,11,A
41509784,PEKING KITCHEN II,1,20,12,A
41569582,CHAVELA'S,3,55,13,A
41529658,DE LILLO PASTRY SHOP,2,08,6,A
41529681,456 RESTAURANT,1,20,7,A
41529703,ON THE ROCKS,1,03,13,A
41525442,FLEX MUSSELS,1,72,11,A
41571976,LINCOLN FRIED CHICKEN,1,18,8,A
41572018,AIR BAR/ NY DELI/ TIM HORTONS,4,03,12,A
41572040,TAQUERIA LOWER EAST SIDE,1,55,9,A
41572362,JUNKO BAR,4,52,23,B
41529929,DUNKIN DONUTS,3,14,7,A
41529935,BAGELETTE,4,07,12,A
41569904,SWAGAT,1,44,11,A
41570059,AAA KENNEDY FRIED CHICKEN,5,18,24,Z
41500874,RAFINA GREEK CUISINE,1,38,23,B
41572498,YANKEE BAR & GRILL,2,03,13,A
41572565,LUKE'S LOBSTER,1,72,9,A
41529962,EUROS EL TINA RESTAURANT LOUNGE AND BILLIARDS,1,53,12,A
41530056,TACO KING,4,81,12,A
41530089,BROOKLYNEER,1,03,13,A
41530091,JOY & SNOOK RESTAURANT AND BAKERY,3,17,12,A
41530127,COAL YARD BAR,1,03,13,A
41510643,JIN CHENG RESTAURANT,4,20,20,B
41510816,OUTBACK STEAKHOUSE,1,78,13,A
41570191,BOCCA,1,48,11,A
41570204,MIA CHEF GELATERIA,1,43,4,A
41570238,MELVINS JUICE SHOP/ MISS LILY'S/,1,17,26,B
41501500,GOLDEN CITY CHINESE KITCHEN,2,20,10,A
41501681,SUBWAY,1,69,27,B
41530418,LAIR,1,05,4,A
41530529,SABOR LATINO,3,53,13,A
41530565,TORTAS DON PACOS,1,55,12,A
41525452,MARINELL BAKERY,2,08,12,A
41525492,LA PENDA RESTAURANT,2,53,10,A
41525547,TARO SUSHI NY INC,3,49,10,A
41572591,SEA FOUR A CHAGE RESTAURANT,3,17,4,A
41572874,SOMETHING'S COOKING CATERING,4,03,6,A
41502580,MUNCHBOX,3,03,11,A
41510938,AFTER 8,4,31,9,A
41511169,THE ROCK SHOP,3,03,9,A
41570376,JU JU'S HOT SPOT,3,17,13,A
41527285,SUBWAY,2,69,4,A
41527419,SURYA SWEETS & SNACKS,4,84,12,A
41526125,NEW GREAT DRAGON RESTAURANT,4,20,7,A
41530760,EL ENCUENTRO RESTAURANT BAR & LOUNGE,2,53,21,Z
41530873,SUBWAY,4,03,13,A
41531104,AL HIRSCHFELD THEATRE,1,03,3,A
41572934,SHARKEY'S SQUARE PIZZA,5,63,7,A
41511299,BOUKIES RESTAURANT,1,38,11,A
41502775,POPEYES CHICKEN & BISCUITS,4,18,9,A
41503007,ARGO TEA CAFE,1,14,12,A
41570916,SUBSATIONAL,3,50,12,A
41570932,STELLA'S COFFEE SHOP,4,03,12,A
41527847,THE COTTAGE,1,20,25,B
41528054,CRIF DOGS,3,03,6,A
41528061,CHICKEN FESTIVAL,4,53,4,A
41528086,MOTTSU,1,49,28,C
41531114,WALTER KERR THEATRE,1,03,12,A
41531139,EUGENE O'NEILL THEATRE,1,03,8,A
41531252,NAI TAPAS BAR,1,80,7,A
41531404,BLIMPIE,2,70,12,A
41531418,PAPA JOHN'S PIZZA,1,62,19,B
41531467,TONG XING CHINESE RESTAURANT & NEW TACO MEXICAN,3,20,9,A
41527379,KAM WAH RESTAURANT,3,20,9,A
41573305,WOK & ROLL,4,05,19,B
41573740,BURGER IT UP,3,03,9,A
41511959,EL LOBITO LOCO,5,55,12,A
41503140,VIP COFFEE,3,08,24,Z
41503142,JM COFFEE SHOP ,4,53,12,A
